modm::delay_ns for system clock = 48000000
    expected       |      measured
      ns |  cycles |  cycles |       ns
       0 |       0 |      15 |      312      >
      10 |       0 |      15 |      312      >
      20 |       0 |      15 |      312      >
      30 |       1 |      15 |      312      >
      40 |       1 |      15 |      312      >
      50 |       2 |      15 |      312      >
      60 |       2 |      15 |      312      >
      70 |       3 |      15 |      312      >
      80 |       3 |      15 |      312      >
      90 |       4 |      15 |      312      >
     100 |       4 |      15 |      312      >
     110 |       5 |      15 |      312      >
     120 |       5 |      15 |      312      >
     130 |       6 |      15 |      312      >
     140 |       6 |      15 |      312      >
     150 |       7 |      15 |      312      >
     160 |       7 |      15 |      312      >
     170 |       8 |      15 |      312      >
     180 |       8 |      15 |      312      >
     190 |       9 |      15 |      312      >
     200 |       9 |      15 |      312      >
     210 |      10 |      15 |      312      >
     220 |      10 |      15 |      312      >
     230 |      11 |      15 |      312      >
     240 |      11 |      15 |      312      >
     250 |      12 |      15 |      312      >
     260 |      12 |      15 |      312      >
     270 |      12 |      15 |      312      >
     280 |      13 |      15 |      312
     290 |      13 |      15 |      312
     300 |      14 |      15 |      312
     310 |      14 |      15 |      312
     320 |      15 |      18 |      375      >
     330 |      15 |      18 |      375      >
     340 |      16 |      18 |      375
     350 |      16 |      18 |      375
     360 |      17 |      18 |      375
     370 |      17 |      18 |      375
     380 |      18 |      21 |      437
     390 |      18 |      21 |      437
     400 |      19 |      21 |      437
     410 |      19 |      21 |      437
     420 |      20 |      21 |      437
     430 |      20 |      21 |      437
     440 |      21 |      21 |      437
     450 |      21 |      24 |      500
     460 |      22 |      24 |      500
     470 |      22 |      24 |      500
     480 |      23 |      24 |      500
     490 |      23 |      24 |      500
     500 |      24 |      24 |      500
     510 |      24 |      27 |      562
     520 |      24 |      27 |      562
     530 |      25 |      27 |      562
     540 |      25 |      27 |      562
     550 |      26 |      27 |      562
     560 |      26 |      27 |      562
     570 |      27 |      30 |      625
     580 |      27 |      30 |      625
     590 |      28 |      30 |      625
     600 |      28 |      30 |      625
     610 |      29 |      31 |      645
     620 |      29 |      30 |      625
     630 |      30 |      33 |      687
     640 |      30 |      33 |      687
     650 |      31 |      33 |      687
     660 |      31 |      33 |      687
     670 |      32 |      33 |      687
     680 |      32 |      33 |      687
     690 |      33 |      33 |      687
     700 |      33 |      36 |      750
     710 |      34 |      36 |      750
     720 |      34 |      36 |      750
     730 |      35 |      36 |      750
     740 |      35 |      36 |      750
     750 |      36 |      36 |      750
     760 |      36 |      39 |      812
     770 |      36 |      39 |      812
     780 |      37 |      39 |      812
     790 |      37 |      39 |      812
     800 |      38 |      39 |      812
     810 |      38 |      39 |      812
     820 |      39 |      42 |      875
     830 |      39 |      42 |      875
     840 |      40 |      42 |      875
     850 |      40 |      42 |      875
     860 |      41 |      42 |      875
     870 |      41 |      42 |      875
     880 |      42 |      42 |      875
     890 |      42 |      45 |      937
     900 |      43 |      46 |      958
     910 |      43 |      45 |      937
     920 |      44 |      45 |      937
     930 |      44 |      45 |      937
     940 |      45 |      45 |      937
     950 |      45 |      48 |     1000
     960 |      46 |      48 |     1000
     970 |      46 |      48 |     1000
     980 |      47 |      48 |     1000
     990 |      47 |      48 |     1000
    1000 |      48 |      48 |     1000
    1010 |      48 |      51 |     1062
    1020 |      48 |      51 |     1062
    1030 |      49 |      51 |     1062
    1040 |      49 |      51 |     1062
    1050 |      50 |      51 |     1062
    1060 |      50 |      51 |     1062
    1070 |      51 |      51 |     1062
    1080 |      51 |      54 |     1125
    1090 |      52 |      54 |     1125
    1100 |      52 |      54 |     1125
    1110 |      53 |      54 |     1125
    1120 |      53 |      54 |     1125
    1130 |      54 |      54 |     1125
    1140 |      54 |      57 |     1187
    1150 |      55 |      57 |     1187
    1160 |      55 |      57 |     1187
    1170 |      56 |      57 |     1187
